OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,,5.9,,5.3,,
,5.5,,,,,
,6.0,5.05,,,5.8,
,,,,,5.62,
,4.4,,,,,
,,6.5,,,,
,,,,4.75,7.0,
,,,,6.5,,
,5.3625,5.65,,4.5,5.9,
,,5.5,,5.5,5.7,
,,,,,5.94,
,6.1,,,,,
,5.1,,,,,
,,,,,4.58,
,,,,5.65,,
,,,,,4.6,
,4.55,4.75,,4.95,,
,,,,5.85,,
,5.285,,,,,
,,5.4,,,,
,4.59,,,,,
,,5.1,,,,
,6.89,,,,,
,5.06,,,7.0,,
,4.8,4.85,,4.55,5.1,
,5.265000000000001,5.82,,5.96,5.82,
,6.52,,,,,
,,5.550000000000001,,,,
,5.473846153846154,4.4,,5.19,,
,,4.4,,,,
,4.85,5.75,,,5.4,
,,6.1,,,7.0,
,,5.55,,,5.55,
,,,,4.78,,
,5.0,,,4.966666666666667,5.233333333333333,
,4.41,,,,5.6,
,,,5.54,,,
,4.9,6.0,,,4.8,
,,5.6,,,,
,4.5,,,,,
,5.0,4.4,,,5.45,
,,,5.8,,,
,5.64,5.85,,4.9,,
,5.372727272727273,4.9,,4.766666666666667,,
,5.5,5.5,,5.8,5.5,
,,5.45,,,4.6,
,,,5.22,,4.7,
,5.1,,,,,
,,,6.12,,,
,,5.3,,6.2,,
,4.7,,,,,
,,,,,5.07,
,,4.8,,,5.5,
,5.04,4.725,,4.9,,
,,6.3,,5.8,,
,5.3,,,,,
,4.7,,,,,
,,,,4.85,,
,,,,,4.75,
,4.8,4.8,,5.0,,
